,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
H0046592,1,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0
H0046774,3,7,2,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1
H0046951,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0047056,3,8,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
H0047097,1,4,5,2,1,1,1,0,1,1,1,1,1,0,1,0,0,1
H0047226,2,1,4,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
H0047288,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
H0047740,1,3,5,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
H0047742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H0048221,3,4,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
H0048483,2,8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
H0048636,1,10,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
H0048942,9,4,3,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
H0048949,1,5,3,2,1,1,1,1,0,0,1,0,1,1,1,0,1,1
H0049835,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H0050078,1,9,3,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0
H0050107,5,4,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H0050578,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0050708,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H0050806,2,3,10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
H0050917,1,4,3,4,0,0,1,1,1,1,0,0,0,0,0,0,0,1
H0051646,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
H0051987,2,1,11,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0
H0052048,4,3,8,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H0052341,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
H0052418,9,8,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
H0052582,2,4,1,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0
H0052822,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0052883,8,4,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
H0053059,2,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H0053062,1,3,8,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
H0053089,1,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
H0053290,8,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0053497,2,9,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
H0053733,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
H0053864,3,2,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
H0053994,3,8,9,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
H0054343,2,8,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
H0054375,2,1,5,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
H0054742,1,8,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
H0054960,1,2,3,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0
H0055027,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1
H0055854,1,6,4,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0
H0055920,1,4,3,3,1,0,1,0,0,1,1,0,0,0,1,0,0,1
H0055926,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1
H0056092,6,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
H0056196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
H0056267,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
H0056358,4,6,9,3,1,0,1,0,1,1,1,1,0,0,0,0,0,1
H0056454,8,1,9,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1
H0056488,1,10,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H0056608,8,1,9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
H0057466,3,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
H0057563,1,2,6,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0
H0057783,2,9,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
H0058042,8,6,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
H0058817,1,4,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
H0059122,1,5,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
H0059252,2,1,9,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0
H0059274,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
H0059281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H0059317,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0059937,8,2,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
H0060051,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
H0060241,2,3,6,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0
H0060514,3,4,5,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
H0060521,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
H0060649,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0060937,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
H0060964,2,9,6,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1
H0061551,8,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
H0061647,4,3,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0
H0061651,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
H0061761,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
H0061927,2,1,3,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
H0061965,3,8,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
H0061966,2,3,10,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
H0061997,9,3,8,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
H0062045,1,10,8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
H0062294,7,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
H0062369,3,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
H0062406,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0062506,4,3,8,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0
H0062555,9,4,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
H0062681,2,1,10,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
H0062799,10,6,2,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
H0062846,9,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
H0062994,4,2,1,2,1,1,0,1,1,1,0,1,1,1,1,1,0,0
H0063080,1,3,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0
H0063083,8,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
H0063210,1,8,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
H0063333,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
H0063794,8,1,3,2,1,1,1,1,0,1,1,1,1,0,1,1,0,1
H0063905,4,5,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
H0064686,1,2,3,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
H0064689,2,3,11,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
H0064731,3,8,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
